ProductID,ProductName,Category,UnitPrice,WeightPounds,Supplier
2070,Clothing-About,Clothing,34.18,14,NorthLine
2071,Clothing-Success,Clothing,615.16,37,MetroGoods
2072,Electronics-Become,Electronics,420.3,8,NorthLine
2073,Clothing-Executive,Clothing,499.43,49,PrimeSource
2074,Clothing-Strong,Clothing,659.5,21,BlueHarbor
2075,Electronics-Letter,Electronics,780.64,32,MetroGoods
2076,Clothing-Affect,Clothing,806.07,5,BlueHarbor
2077,Office-Ball,Office,561.83,43,PrimeSource
2078,Electronics-Film,Electronics,142.01,17,NorthLine
2079,Office-Who,Office,950.54,10,MetroGoods
2080,Office-Doctor,Office,832.26,27,PrimeSource
2081,Office-Light,Office,746.22,36,BlueHarbor
2082,Office-Figure,Office,266.6,13,NorthLine
2083,Clothing-Cut,Clothing,768.16,48,MetroGoods
2084,Office-Stuff,Office,281.85,20,NorthLine
2085,Electronics-Officer,Electronics,242.15,30,PrimeSource
2086,Home-Of,Home,894.1,2,BlueHarbor
2087,Electronics-Rather,Electronics,159.32,44,MetroGoods
2088,Office-Evening,Office,709.35,16,MetroGoods
2089,Electronics-Action,Electronics,413.52,24,NorthLine
2090,Office-Staff,Office,71.64,35,PrimeSource
2091,Office-Mrs,Office,905.79,1,BlueHarbor
2092,Electronics-Add,Electronics,482.21,40,MetroGoods
2093,Home-Real,Home,755.94,23,BlueHarbor
2094,Office-Fight,Office,493.35,38,PrimeSource
2095,Home-Seem,Home,490.79,50,NorthLine
2096,Office-Discuss,Office,672.18,23,MetroGoods
2097,Office-Recent,Office,842.1,38,PrimeSource
2098,Clothing-Trouble,Clothing,907.86,50,BlueHarbor
2099,Electronics-Several,Electronics,646.32,23,NorthLine
